N,Serie,Variancia,Skewness,Kurtosis
64,1,0.05668673960591469,0.3131109561543929,-0.5337884563185389
64,2,0.06361577564121695,-1.196491423362187,0.5777074616288949
64,3,0.0784388174609356,0.2595523099794446,-1.3114805288531555
64,4,0.07070584088384796,-0.2486142722644238,-1.2028650965971626
64,5,0.046127438470484755,0.28741846504434704,0.6673142129441545
64,6,0.042514673562942175,0.30824774291277085,0.14165517925948867
64,7,0.04484443998394099,-0.05345493047612487,-0.051463310370443605
64,8,0.05585756214962957,-0.5978099268403702,-0.5234883769070153
64,9,0.07626910421202748,-0.021936418178774397,-1.1634258259309114
64,10,0.07684956982126483,-0.20419853964045784,-0.8562251183033216
128,1,0.060871241265914,0.1118080771952332,-0.7516390168928408
128,2,0.07343307412160444,-0.2512661412904789,-0.9779715143903149
128,3,0.07673873366690462,0.5300244344670566,-0.8687441678932468
128,4,0.06051301816608062,0.3811491906619725,-0.517949748397772
128,5,0.06412339458493947,-0.7159116086679045,-0.5254986464803864
128,6,0.06440043980097737,-0.21819165106007934,-0.9670225766632168
128,7,0.04218923913274196,-0.1076807012428318,-0.062277291310727456
128,8,0.0800871792695593,-0.040246749671300396,-1.55407370731983
128,9,0.05080626940925074,-0.35806866492327627,-0.5488729102584222
128,10,0.06268052347817707,0.21499213302578565,-0.8862569040152874
256,1,0.048663634215776685,-0.29229884550862467,-0.7496893441889325
256,2,0.06449687607115105,-0.2369025338171772,-0.9798660288410361
256,3,0.042371283390633216,-0.2558223193624232,-0.3765549901850753
256,4,0.07706002708754331,0.1684776272263317,-1.143911856332194
256,5,0.0548485002943911,-0.04507582463674686,-1.006722892618205
256,6,0.030698793814933546,0.8540009542851266,1.2781766886395234
256,7,0.0570288439214327,-0.5636016871368638,-0.6693897485394964
256,8,0.043763891581782614,0.1473107306688596,-0.7759590706751944
256,9,0.032517830250828196,-0.13873497396547746,-0.008968557397648791
256,10,0.057649798340822206,-0.6327662489651512,-0.4248298530425738
512,1,0.05891068315762339,0.6283574462633884,-0.6157992421664868
512,2,0.05648476637369355,1.056026753822107,0.15272860334192329
512,3,0.08270089586763854,-0.2195550964971781,-1.4598205609683015
512,4,0.046268125390710416,0.16332101879132113,-0.5283204123349252
512,5,0.05638446446546794,0.272891892023444,-0.62184624597894
512,6,0.06900994256741859,-1.0747311717375396,-0.00039441980777210617
512,7,0.07309943940510893,0.49391938397854157,-0.9785090743603555
512,8,0.047597553421439176,-0.5148377180609812,-0.47611430441516633
512,9,0.035816935275059525,-1.2948167290267094,1.3248680537566395
512,10,0.043092363605413894,0.2355528895783136,-0.5252937053135969
1024,1,0.057169807932234876,0.762838217311407,-0.31583627317430585
1024,2,0.03840645007714793,0.2382357025502705,-0.11024021326023581
1024,3,0.07940523496231099,0.04262700755696689,-1.3839960503941546
1024,4,0.05948336997268937,0.15907320460056745,-0.9472688399382898
1024,5,0.0406395644404857,-0.3849563322240259,-0.16782987216356693
1024,6,0.06593431886548216,0.40286638505365024,-1.0120583138175583
1024,7,0.07116511084870668,-0.038294017804389714,-1.3952198364303636
1024,8,0.04494251911194504,0.2381158504723317,-0.4521871939294022
1024,9,0.10070500533036825,-0.285374735362936,-1.4429768196991368
1024,10,0.042762981185304486,-0.8320719245626269,0.3668395471080852
2048,1,0.06388765497749271,-0.1300332252445737,-1.0253589568708077
2048,2,0.05144415371547067,0.0704961743744693,-0.8435923465207193
2048,3,0.04535679518596046,0.5928170137851556,-0.061071679430029224
2048,4,0.052816719698278385,-0.0950869726655333,-0.9729371998277752
2048,5,0.0779218832448986,-0.4337613641958372,-1.1608273491581766
2048,6,0.07734386611178815,-0.6026618398809709,-1.0547010991350887
2048,7,0.03854550039641835,0.28808628156814836,-0.09437957013128351
2048,8,0.05127084851888046,-1.2661995791997316,0.5315965511637679
2048,9,0.0539625781525955,-0.760977073733804,0.05980244802835344
2048,10,0.07082168428799082,-0.22061638102227768,-1.366331541774502
4096,1,0.07669759682136486,-0.5100741843593264,-1.0263223018575303
4096,2,0.051321602545467374,0.6648460641209673,-0.5869082172825024
4096,3,0.07359972404033675,-0.2920559929606629,-1.2706250095687541
4096,4,0.04977571524633376,-0.7300758910784635,-0.19816915771201815
4096,5,0.06529932006676278,0.4755296889905017,-0.7853403581015255
4096,6,0.05620727598320848,0.2064762810982741,-0.9262136707230568
4096,7,0.05634101818328076,0.3405665257521314,-1.186474334009151
4096,8,0.07481761877724677,-0.04798162389191955,-1.117387767212531
4096,9,0.03693208139381569,1.1110374519564035,1.0815307145180082
4096,10,0.04086761914996707,0.661939566764025,-0.3298890913722472
8192,1,0.07818807756702933,-0.039642144275726154,-1.3614531235617882
8192,2,0.028414544839389405,0.02611620216957439,0.6487854514576612
8192,3,0.06616404343429187,-0.2311691866443376,-1.2776870367798678
8192,4,0.061898133664514465,0.7339163904415591,-0.7954967472964851
8192,5,0.03167972218532663,0.1286575487655004,-0.14193153374685386
8192,6,0.036240111306832606,0.5801839192814443,-0.34829201629364803
8192,7,0.039046672085824026,0.07505137232105666,-0.014858959889278989
8192,8,0.06658041555879853,0.2033647185631001,-1.242905013530783
8192,9,0.07677303078637392,-0.028942504489460914,-1.484334168123302
8192,10,0.04852230906861098,0.5597568603860912,-0.5350583869704213
