N,p,Serie,m1,m2,m3,m4
8192,0.18,1,0.0,85.74542594665206,33232.468586105984,18555454.644542716
8192,0.18,2,0.0,85.74542594665209,33232.468586105984,18555454.64454271
8192,0.18,3,0.0,85.74542594665208,33232.468586105984,18555454.644542713
8192,0.18,4,0.0,85.74542594665209,33232.46858610599,18555454.64454271
8192,0.18,5,0.0,85.74542594665206,33232.46858610599,18555454.644542713
8192,0.18,6,0.0,85.74542594665208,33232.468586105984,18555454.64454271
8192,0.18,7,0.0,85.74542594665209,33232.468586105984,18555454.644542705
8192,0.18,8,0.0,85.74542594665206,33232.46858610598,18555454.644542724
8192,0.18,9,0.0,85.74542594665208,33232.468586105984,18555454.644542716
8192,0.18,10,0.0,85.74542594665208,33232.46858610599,18555454.644542713
8192,0.23,1,0.0,26.839694966017284,3453.683312133993,748899.389655399
8192,0.23,2,0.0,26.839694966017284,3453.6833121339914,748899.3896553987
8192,0.23,3,0.0,26.839694966017284,3453.683312133993,748899.389655399
8192,0.23,4,0.0,26.839694966017284,3453.6833121339923,748899.3896553989
8192,0.23,5,0.0,26.83969496601728,3453.6833121339923,748899.3896553989
8192,0.23,6,0.0,26.83969496601728,3453.6833121339923,748899.389655399
8192,0.23,7,0.0,26.839694966017284,3453.6833121339914,748899.3896553989
8192,0.23,8,0.0,26.839694966017284,3453.683312133991,748899.3896553988
8192,0.23,9,0.0,26.839694966017284,3453.6833121339923,748899.3896553987
8192,0.23,10,0.0,26.839694966017287,3453.6833121339923,748899.3896553989
8192,0.28,1,0.0,8.98078112277512,357.0038719854838,26644.90458117705
8192,0.28,2,0.0,8.98078112277512,357.00387198548384,26644.904581177052
8192,0.28,3,0.0,8.98078112277512,357.00387198548384,26644.904581177056
8192,0.28,4,0.0,8.980781122775122,357.0038719854839,26644.90458117705
8192,0.28,5,0.0,8.980781122775122,357.0038719854837,26644.90458117705
8192,0.28,6,0.0,8.980781122775122,357.00387198548384,26644.904581177052
8192,0.28,7,0.0,8.98078112277512,357.0038719854838,26644.90458117705
8192,0.28,8,0.0,8.98078112277512,357.00387198548384,26644.904581177052
8192,0.28,9,0.0,8.98078112277512,357.00387198548384,26644.904581177045
8192,0.28,10,0.0,8.980781122775122,357.00387198548384,26644.90458117705
8192,0.32,1,0.0,3.875519392563557,58.87511453513821,1739.8242209830337
8192,0.32,2,0.0,3.875519392563557,58.8751145351382,1739.8242209830337
8192,0.32,3,0.0,3.875519392563557,58.8751145351382,1739.8242209830341
8192,0.32,4,0.0,3.875519392563557,58.8751145351382,1739.8242209830335
8192,0.32,5,0.0,3.875519392563557,58.8751145351382,1739.824220983034
8192,0.32,6,0.0,3.875519392563557,58.8751145351382,1739.824220983034
8192,0.32,7,0.0,3.875519392563557,58.87511453513821,1739.8242209830344
8192,0.32,8,0.0,3.875519392563557,58.8751145351382,1739.8242209830341
8192,0.32,9,0.0,3.875519392563557,58.87511453513821,1739.8242209830341
8192,0.32,10,0.0,3.875519392563557,58.8751145351382,1739.824220983034
8192,0.37,1,0.0,1.3405145564784766,6.0069056706990365,54.13163525941666
8192,0.37,2,0.0,1.3405145564784766,6.0069056706990365,54.13163525941666
8192,0.37,3,0.0,1.3405145564784766,6.0069056706990365,54.13163525941667
8192,0.37,4,0.0,1.3405145564784766,6.0069056706990365,54.13163525941666
8192,0.37,5,0.0,1.3405145564784766,6.006905670699036,54.13163525941666
8192,0.37,6,0.0,1.3405145564784766,6.0069056706990365,54.13163525941667
8192,0.37,7,0.0,1.3405145564784766,6.0069056706990365,54.13163525941666
8192,0.37,8,0.0,1.3405145564784766,6.0069056706990365,54.13163525941667
8192,0.37,9,0.0,1.3405145564784766,6.006905670699036,54.13163525941666
8192,0.37,10,0.0,1.3405145564784766,6.0069056706990365,54.13163525941667
8192,0.42,1,0.0,0.38903810026927765,0.4495957915871638,1.3228111454089764
8192,0.42,2,0.0,0.38903810026927765,0.4495957915871638,1.3228111454089766
8192,0.42,3,0.0,0.38903810026927765,0.4495957915871638,1.3228111454089766
8192,0.42,4,0.0,0.38903810026927765,0.4495957915871639,1.3228111454089766
8192,0.42,5,0.0,0.38903810026927765,0.4495957915871638,1.3228111454089762
8192,0.42,6,0.0,0.38903810026927765,0.44959579158716384,1.3228111454089766
8192,0.42,7,0.0,0.38903810026927765,0.44959579158716384,1.3228111454089764
8192,0.42,8,0.0,0.38903810026927765,0.44959579158716384,1.3228111454089766
8192,0.42,9,0.0,0.38903810026927765,0.4495957915871639,1.3228111454089766
8192,0.42,10,0.0,0.38903810026927765,0.4495957915871638,1.3228111454089764
