N,p,Serie,Skewness_2,Kurtosis,Alfa,Beta
8192,0.18,1,1752.4732017494948,2522.309395917763,0.7533674153614042,-0.5780366401725345
8192,0.18,2,1752.473201749493,2522.3093959177604,0.7603574855778065,-0.44017436063422805
8192,0.18,3,1752.473201749493,2522.309395917761,0.7402378627308639,-0.8799715972998271
8192,0.18,4,1752.4732017494948,2522.3093959177627,0.7551712770702574,-0.9131675406059837
8192,0.18,5,1752.4732017494948,2522.3093959177627,0.7616877595082824,-0.33675185388422146
8192,0.18,6,1752.4732017494948,2522.309395917763,0.7479248301505994,-0.7217686757100515
8192,0.18,7,1752.4732017494935,2522.309395917762,0.7212913020810067,-0.40519007409584534
8192,0.18,8,1752.4732017494948,2522.309395917763,0.7747287289827082,-0.6345334843394947
8192,0.18,9,1752.4732017494948,2522.309395917763,0.734561439868421,-0.2965736172473432
8192,0.18,10,1752.4732017494948,2522.3093959177636,0.7426873796995059,-0.7497510093002606
8192,0.23,1,617.1508948355273,1037.2386218997995,0.8509088961741891,-0.634729055292701
8192,0.23,2,617.1508948355277,1037.2386218997995,0.794846893001132,-0.39361150772962017
8192,0.23,3,617.1508948355277,1037.2386218997995,0.8275854659183074,-0.7542807457821419
8192,0.23,4,617.1508948355273,1037.2386218997997,0.789608536667599,-0.6554438739126112
8192,0.23,5,617.1508948355277,1037.2386218997995,0.7791022296631286,-0.5731798738428722
8192,0.23,6,617.1508948355273,1037.2386218997992,0.8058615847115992,-0.3774943158689904
8192,0.23,7,617.1508948355277,1037.2386218997992,0.8160637012656012,-0.35878282881493295
8192,0.23,8,617.1508948355277,1037.2386218997992,0.8103070675329607,-0.7066740442198095
8192,0.23,9,617.1508948355277,1037.2386218997995,0.8132283456647482,-1.0965324553971822
8192,0.23,10,617.1508948355275,1037.2386218997992,0.7426122971961666,-0.4825057505259852
8192,0.28,1,176.0202294672316,327.55947434879556,0.835811120480883,-0.7755950495981713
8192,0.28,2,176.02022946723173,327.5594743487958,0.8668279421392121,-0.6469326528223422
8192,0.28,3,176.02022946723147,327.55947434879556,0.9001241649330497,-0.8452388969247032
8192,0.28,4,176.02022946723156,327.55947434879556,0.8691416647666441,-0.7717933129026758
8192,0.28,5,176.0202294672316,327.55947434879556,0.8709349517397582,-1.087905832429698
8192,0.28,6,176.02022946723164,327.55947434879556,0.8713074668334624,-0.8320259217819038
8192,0.28,7,176.02022946723156,327.55947434879556,0.8747137308119489,-0.48434873242105464
8192,0.28,8,176.02022946723164,327.55947434879556,0.8753590020229186,-1.0499877312319723
8192,0.28,9,176.0202294672316,327.5594743487957,0.8666931154134535,-0.8529023587846132
8192,0.28,10,176.02022946723164,327.5594743487955,0.861119304991966,-0.7998599546262565
8192,0.32,1,59.57072050817569,112.90616421215158,0.914521223950745,-0.36619443777449934
8192,0.32,2,59.57072050817569,112.90616421215161,0.912978087765175,-1.1069011229039405
8192,0.32,3,59.57072050817569,112.9061642121516,0.9094517121465924,-1.1581471140253219
8192,0.32,4,59.57072050817569,112.90616421215164,0.9075112341314987,-0.6281224117211538
8192,0.32,5,59.5707205081757,112.90616421215167,0.9203471432874573,-1.0388336295019303
8192,0.32,6,59.57072050817569,112.90616421215161,0.9144667914467551,-0.8935026466501479
8192,0.32,7,59.57072050817569,112.90616421215164,0.9105943189983596,-1.126759104462077
8192,0.32,8,59.5707205081757,112.90616421215167,0.8984472677973213,-1.047280403429916
8192,0.32,9,59.57072050817569,112.90616421215165,0.9138574153193211,-0.717321430641323
8192,0.32,10,59.5707205081757,112.90616421215165,0.8983422760300777,-0.6896857184492705
8192,0.37,1,14.984632189926112,27.140978701394168,0.9313740481531123,-0.9572833454508841
8192,0.37,2,14.984632189926112,27.140978701394168,0.9716968577708311,-0.9056930166268199
8192,0.37,3,14.984632189926112,27.140978701394168,0.894374319381756,-0.7203881201446929
8192,0.37,4,14.984632189926112,27.140978701394168,0.9515071722387315,-0.9938984617032134
8192,0.37,5,14.984632189926112,27.140978701394165,0.9496117593553401,-1.0825349575837506
8192,0.37,6,14.984632189926112,27.140978701394168,0.8909446320217154,-0.7878162840388194
8192,0.37,7,14.984632189926112,27.14097870139416,0.934275761722645,-0.8672916865783689
8192,0.37,8,14.984632189926112,27.14097870139417,0.944723612067374,-0.556742976002719
8192,0.37,9,14.984632189926112,27.140978701394165,0.9588715639473994,-1.199682543983582
8192,0.37,10,14.984632189926115,27.140978701394165,0.955201626507743,-0.9322945387017484
8192,0.42,1,3.434212252153075,5.744280853221793,0.9537431975673505,-0.8873614249174251
8192,0.42,2,3.434212252153078,5.7442808532218015,0.9671069179064564,-0.892833340914296
8192,0.42,3,3.434212252153074,5.744280853221796,0.9885314976728236,-0.916276015493789
8192,0.42,4,3.434212252153074,5.744280853221796,0.9859460030547741,-0.9968244259337264
8192,0.42,5,3.434212252153079,5.7442808532218015,0.9777283030279165,-1.0450466647030485
8192,0.42,6,3.4342122521530776,5.744280853221798,0.9648797483905298,-1.1881276982292481
8192,0.42,7,3.434212252153078,5.7442808532218015,0.9778062701118619,-1.0415958586763705
8192,0.42,8,3.434212252153078,5.7442808532218015,0.9827730684647817,-1.1467746946476594
8192,0.42,9,3.434212252153078,5.7442808532218015,0.9793697929221996,-0.9774239804909295
8192,0.42,10,3.4342122521530776,5.7442808532218,0.9841137558934613,-0.8086243167013776
